id;the_geom;type;flats;height;levels
buildings.29;MULTIPOLYGON (((166349.74673337254 5388491.9413928455, 166355.51308299563 5388488.0740358215, 166353.74310309204 5388485.142825822, 166347.6650588947 5388488.810675129, 166349.74673337254 5388491.9413928455)));yes;1;0.0;0
buildings.30;MULTIPOLYGON (((169739.5699433658 5389893.887933874, 169754.7873177572 5389877.832914232, 169746.2268489152 5389869.636576501, 169730.98721062558 5389885.706930908, 169739.5699433658 5389893.887933874)));yes;1;0.0;0
buildings.31;MULTIPOLYGON (((167409.12979945578 5389615.676491683, 167419.02610218734 5389626.28232474, 167437.42721401545 5389609.245464233, 167428.22109212686 5389599.69869664, 167422.86662461972 5389604.886488741, 167421.96493674428 5389603.950230189, 167409.12979945578 5389615.676491683)));yes;1;0.0;0
buildings.32;MULTIPOLYGON (((169850.52207983943 5389862.944440959, 169842.9857503127 5389871.278913257, 169851.4571635621 5389879.014783753, 169840.92633973304 5389890.618601613, 169848.8522874775 5389897.817273704, 169866.88604498602 5389877.863612139, 169850.52207983943 5389862.944440959)));yes;1;0.0;0
buildings.33;MULTIPOLYGON (((166354.19951300428 5388499.016204902, 166351.97312318842 5388495.471124866, 166347.50921160763 5388498.34095146, 166349.668809729 5388501.978112639, 166354.19951300428 5388499.016204902)));yes;1;0.0;0
buildings.34;MULTIPOLYGON (((168528.15784870615 5389663.164932788, 168516.8143925943 5389655.843654339, 168515.32271141766 5389658.191988309, 168509.06655603508 5389654.12461286, 168506.99601350632 5389657.3785130745, 168504.98113072297 5389656.089231722, 168505.53772817695 5389653.173000751, 168494.28332765773 5389648.783307442, 168494.24993181048 5389648.844701738, 168489.8862077714 5389660.187305214, 168505.2482975009 5389666.157909921, 168506.3058326634 5389664.515609525, 168510.92559153133 5389667.462541277, 168511.9052030503 5389665.95837808, 168516.99250377953 5389669.227631058, 168517.84966385865 5389667.92299945, 168522.9926243333 5389671.238298955, 168528.15784870615 5389663.164932788)));yes;1;0.0;0
buildings.35;MULTIPOLYGON (((168335.06305997612 5389655.13761941, 168354.95585298087 5389669.734135144, 168363.38273843392 5389658.053850994, 168343.1448550077 5389643.411307968, 168335.06305997612 5389655.13761941)));yes;1;0.0;0
buildings.36;MULTIPOLYGON (((166342.26606359123 5388506.873703156, 166335.6536858381 5388502.9142598435, 166331.04505891926 5388511.07869519, 166337.9357353994 5388514.961408508, 166342.26606359123 5388506.873703156)));yes;1;0.0;0
buildings.37;MULTIPOLYGON (((167484.27045574127 5389541.666226174, 167479.5727732298 5389541.159729092, 167472.69322869877 5389540.423006108, 167471.65795743436 5389549.048808029, 167472.86020793498 5389551.42781175, 167468.95289380813 5389554.8505085, 167467.8396989002 5389552.563594387, 167461.87297419368 5389551.934309397, 167461.55014767038 5389556.937893683, 167466.4259413671 5389557.198816867, 167471.7136171798 5389561.220104471, 167474.5633961441 5389558.411342333, 167477.3018556176 5389561.00522646, 167482.16651736526 5389555.57188421, 167479.6395649243 5389552.962653183, 167480.2852179709 5389551.412463337, 167483.05707329165 5389551.642689535, 167484.27045574127 5389541.666226174)));yes;1;0.0;0
buildings.38;MULTIPOLYGON (((166367.41313656146 5388505.369728366, 166357.38325044097 5388511.784642942, 166359.20889008997 5388514.838634938, 166360.11057796542 5388516.388651362, 166370.24065162757 5388510.280667355, 166367.41313656146 5388505.369728366)));yes;1;0.0;0
buildings.39;MULTIPOLYGON (((164785.81920721784 5390602.899821549, 164788.99181270544 5390607.167165691, 164794.37967605985 5390603.206824657, 164791.46310540105 5390599.062283526, 164785.81920721784 5390602.899821549)));yes;1;0.0;0
buildings.40;MULTIPOLYGON (((164709.6989394134 5390634.690047633, 164716.14433793034 5390643.8234258555, 164738.08540956568 5390628.304363329, 164734.200359337 5390622.271737735, 164731.250392831 5390617.651332495, 164731.250392831 5390617.666682674, 164725.84026557844 5390621.53492877, 164726.5861061667 5390622.578741489, 164709.6989394134 5390634.690047633)));yes;1;0.0;0
