id;the_geom;junction;type;lanes;maxspeed;oneway
roads.36;MULTILINESTRING ((166101.6823800888 5390711.119048235, 166103.0516098256 5390716.89077584, 166107.98306326772 5390726.592198422, 166128.2988703375 5390746.731892934, 166164.2661978128 5390776.527054834));;residential;1;50.0;yes
roads.37;MULTILINESTRING ((166164.2661978128 5390776.527054834, 166192.3187094927 5390794.502441002, 166214.29317697528 5390807.872712432, 166230.53469068202 5390817.436075702, 166260.44623785818 5390831.098040361, 166332.77051102658 5390855.643575804, 166358.56323704336 5390870.932760213, 166393.92943926842 5390899.5309710875));;residential;1;50.0;yes
roads.38;MULTILINESTRING ((166791.49586868752 5390909.785208834, 166817.18840716258 5390917.75220678, 166869.6866790207 5390934.991033107));;residential;1;50.0;yes
roads.39;MULTILINESTRING ((166869.6866790207 5390934.991033107, 166926.63773051053 5390954.3175915945));;residential;1;50.0;yes
roads.40;MULTILINESTRING ((166926.63773051053 5390954.3175915945, 167049.46765665183 5390999.095801436));;residential;1;50.0;yes
roads.41;MULTILINESTRING ((167049.46765665183 5390999.095801436, 167065.23049654815 5391004.837006833));;residential;1;50.0;yes
roads.42;MULTILINESTRING ((166989.81154153572 5390794.226132494, 166982.17502446732 5390814.488778104));;residential;1;50.0;yes
roads.43;MULTILINESTRING ((166982.17502446732 5390814.488778104, 166976.7315013675 5390829.470883963));;residential;1;50.0;yes
roads.44;MULTILINESTRING ((166976.7315013675 5390829.470883963, 166971.08760318428 5390844.053899619));;residential;1;50.0;yes
roads.45;MULTILINESTRING ((166971.08760318428 5390844.053899619, 166959.55490393811 5390874.755060262, 166954.07798499108 5390887.618876816));;residential;1;50.0;yes
roads.46;MULTILINESTRING ((166954.07798499108 5390887.618876816, 166941.65472981855 5390916.800464855, 166936.57856103836 5390930.999850516, 166934.63046994948 5390936.37259671));;residential;1;50.0;yes
roads.47;MULTILINESTRING ((166934.63046994948 5390936.37259671, 166926.63773051053 5390954.3175915945));;residential;1;50.0;yes
roads.48;MULTILINESTRING ((166476.41718194622 5390643.900176969, 166473.27797230583 5390637.545186746, 166468.06822013672 5390625.863682274, 166451.62633134658 5390595.900153399, 166444.55754368118 5390575.69938637, 166444.43509224133 5390571.109704563));;residential;1;50.0;yes
roads.49;MULTILINESTRING ((166444.43509224133 5390571.109704563, 166443.3886890278 5390533.7476302385, 166437.82271448823 5390497.506255125));;residential;1;50.0;yes
roads.50;MULTILINESTRING ((166437.82271448823 5390497.506255125, 166438.02308957162 5390493.100811738, 166438.21233270597 5390490.506666608));;residential;1;50.0;yes
roads.51;MULTILINESTRING ((167108.7675493974 5390382.658412136, 167098.55955209167 5390392.666480821, 167038.46929096148 5390428.40090018));;tertiary;1;50.0;yes
roads.52;MULTILINESTRING ((167038.46929096148 5390428.40090018, 167036.10931775667 5390429.53679034));;tertiary;1;50.0;yes
roads.53;MULTILINESTRING ((167036.10931775667 5390429.53679034, 167025.57849392758 5390434.157101754, 167015.65992729794 5390432.883062163));;tertiary;1;50.0;yes
roads.54;MULTILINESTRING ((166351.34973403995 5391410.506694573, 166374.72682710655 5391424.522618884, 166400.19672660006 5391439.659226905));;residential;1;50.0;
roads.55;MULTILINESTRING ((166400.19672660006 5391439.659226905, 166374.72682710655 5391424.522618884, 166351.34973403995 5391410.506694573));;residential;1;50.0;
roads.56;MULTILINESTRING ((166400.19672660006 5391439.659226905, 166487.69384636357 5391491.670397141));;residential;1;50.0;
roads.57;MULTILINESTRING ((166487.69384636357 5391491.670397141, 166400.19672660006 5391439.659226905));;residential;1;50.0;
roads.58;MULTILINESTRING ((166487.69384636357 5391491.670397141, 166528.4924397393 5391515.92600142));;residential;1;50.0;
roads.59;MULTILINESTRING ((166528.4924397393 5391515.92600142, 166487.69384636357 5391491.670397141));;residential;1;50.0;
roads.60;MULTILINESTRING ((166528.4924397393 5391515.92600142, 166537.24215171565 5391521.130218463));;residential;1;50.0;
roads.61;MULTILINESTRING ((166537.24215171565 5391521.130218463, 166528.4924397393 5391515.92600142));;residential;1;50.0;
roads.62;MULTILINESTRING ((166665.03692714634 5391580.925193411, 166665.97201086898 5391578.23863298, 166667.1074696751 5391576.657400636, 166669.37838728726 5391574.922650895, 166671.4823256633 5391574.185766148, 166673.44154870123 5391574.016896735));roundabout;tertiary;1;50.0;
roads.63;MULTILINESTRING ((166673.44154870123 5391574.016896735, 166671.4823256633 5391574.185766148, 166669.37838728726 5391574.922650895, 166667.1074696751 5391576.657400636, 166665.97201086898 5391578.23863298, 166665.03692714634 5391580.925193411));;tertiary;1;50.0;
roads.64;MULTILINESTRING ((166673.44154870123 5391574.016896735, 166676.99264045752 5391574.984057959, 166679.24129417154 5391576.73415948, 166680.63278780648 5391578.883407413, 166681.3229686494 5391582.782758506));roundabout;tertiary;1;50.0;
